"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Regulation"
"0610005C13Rik",1.03993097473739,-2.55585148157956,3.85014635816144,-0.663832292027479,0.506797655289952,1,"Not Significant"
"0610007P14Rik",1809.52529693887,-0.0423814152556807,0.131837443522273,-0.321467210857442,0.747856356606286,1,"Not Significant"
"0610009B22Rik",429.704451500425,-0.210693634669508,0.196894820263479,-1.07008216055437,0.284582328239355,0.887032358544825,"Not Significant"
"0610009L18Rik",7.24983953628899,-0.129124622777262,1.08274774975522,-0.119256422196632,0.905072207092524,1,"Not Significant"
"0610009O20Rik",1357.70922633087,0.303191129371445,0.117431620774448,2.58185254850384,0.00982715619074508,0.115655337696999,"Not Significant"
"0610010B08Rik",352.464422773491,0.0702765792474881,0.369855096763433,0.190011114791906,0.849300420855931,1,"Not Significant"
"0610010F05Rik",1064.63729675551,0.0293822061758499,0.183485648229957,0.160133538831473,0.872775881899715,1,"Not Significant"
"0610010K14Rik",1041.92814968116,-0.0112963764618076,0.177062825612409,-0.0637986907908912,0.949130520734563,1,"Not Significant"
"0610011F06Rik",1194.12186073212,-0.112360569090103,0.212388981628213,-0.529032006409777,0.596783247139513,1,"Not Significant"
"0610012G03Rik",1509.36220636813,-0.228495306329947,0.154540663654395,-1.47854487567712,0.139261994892899,0.664709527244176,"Not Significant"
"0610030E20Rik",715.2079128056,-0.105060625319928,0.251107363488514,-0.41838926529422,0.675662533822148,1,"Not Significant"
"0610031O16Rik",0.294371857270749,2.30502105121164,4.00020677021691,0.576225476236233,0.564462787410087,1,"Not Significant"
"0610037L13Rik",403.825419191381,0.110007962660862,0.216027824311096,0.509230526260555,0.610590648335268,1,"Not Significant"
"0610038B21Rik",10.0598383435401,-0.643757868971019,1.20547764350372,-0.53402721522063,0.593322705039746,1,"Not Significant"
"0610039H22Rik",0.689177715112472,-1.00494678973739,3.68046350446524,-0.27304897562988,0.784815568309757,1,"Not Significant"
"0610039K10Rik",1.40504342463059,-0.277230669740444,2.00641535647682,-0.138172123157614,0.89010438624571,1,"Not Significant"
"0610040B10Rik",7.09456330999925,0.714295417250712,0.958377257961669,0.745317578559737,0.45607975680533,1,"Not Significant"
"0610040F04Rik",2.12374500330247,-2.72493839628782,1.98357241901546,-1.37375291679057,0.169518402660646,0.731114703100304,"Not Significant"
"0610040J01Rik",2473.44238503533,0.251355283927,0.151940886589209,1.65429654630468,0.0980672743810023,0.54377682965314,"Not Significant"
"0610043K17Rik",0.90913757232376,-1.00318392623935,3.4261117679204,-0.292805370692348,0.769670922871699,1,"Not Significant"
"1010001N08Rik",9.84676363419139,1.34106751935473,0.975106837255295,1.37530316486092,0.169037475747234,0.730065232941344,"Not Significant"
"1110001J03Rik",364.83878088829,-0.150886823661308,0.253431269871883,-0.595375715623357,0.55159235450674,1,"Not Significant"
"1110002L01Rik",167.980409111545,-0.424658723228777,0.218091052181996,-1.94716252216713,0.0515152532671642,0.366781904813999,"Not Significant"
"1110004E09Rik",2103.84216370667,-0.334022486366224,0.1443944019849,-2.31326479264172,0.0207080851548583,0.197479858776458,"Not Significant"
"1110004F10Rik",3230.23298410165,0.151437719877545,0.160339654873266,0.944480764894016,0.344924026695537,0.946704072017417,"Not Significant"
"1110006O24Rik",20.125000936399,-0.160665987562991,0.591317160051893,-0.271708650479366,0.785846049330154,1,"Not Significant"
"1110007C09Rik",823.103716466004,-0.597698240541182,0.218738082514196,-2.73248367943608,0.00628587856470412,0.0821496542392969,"Not Significant"
"1110008F13Rik",4070.73898392666,-0.00282701756182631,0.164048619784245,-0.017232803089379,0.986250892989908,1,"Not Significant"
"1110008L16Rik",681.907385285065,0.167834432043739,0.129186086710496,1.29916801659805,0.193886275049242,0.768086532288259,"Not Significant"
"1110008P14Rik",515.709520340604,-0.054566842333583,0.187977093590408,-0.290284530371988,0.771598572559328,1,"Not Significant"
"1110012L19Rik",329.714487789583,-0.054663117316862,0.204492205895606,-0.267311495210569,0.78922933680529,1,"Not Significant"
"1110017D15Rik",0.349246555771048,-1.00969317996669,4.08045587180296,-0.24744617064577,0.804562945861243,1,"Not Significant"
"1110019D14Rik",59.465678604521,-0.0187941863615518,0.326613656610587,-0.0575425613141451,0.954113003228396,1,"Not Significant"
"1110020A21Rik",7.68725488223594,-0.0302400562897099,0.875370525831982,-0.0345454357867129,0.972442211433612,1,"Not Significant"
"1110025L11Rik",0.336175754718452,0.913852164791137,4.08045587180296,0.223958350121147,0.822789711832374,1,"Not Significant"
"1110028F11Rik",171.053159623875,0.569589781101378,0.51371654126959,1.1087627813068,0.267532530330093,0.871004135069071,"Not Significant"
"1110028F18Rik",0.557265663931957,-0.972750599132617,3.88201464992449,-0.25057880684493,0.802139768737271,1,"Not Significant"
"1110032A03Rik",124.369594261582,-0.0323153418710393,0.292599614795119,-0.110442188700989,0.912058696008065,1,"Not Significant"
"1110032F04Rik",0.205109878603889,1.77892856742773,4.0406370421733,0.440259431584806,0.659749219594265,1,"Not Significant"
"1110034G24Rik",68.7746061453937,0.546041896869045,0.327051222708393,1.66959136353974,0.0950002403049437,0.53453148088763,"Not Significant"
"1110036E04Rik",0.221185207208114,1.87400446046612,4.03223256380345,0.464756045394972,0.642106167915747,1,"Not Significant"
"1110037F02Rik",1930.14194248643,0.0334352111607139,0.155476545856726,0.215049871197454,0.829728436443041,1,"Not Significant"
"1110038B12Rik",970.032428817683,-0.171038126870863,0.238958740806958,-0.71576426245498,0.474136922852092,1,"Not Significant"
"1110038F14Rik",624.813031334376,-0.0753996162346717,0.155990513697561,-0.483360266258617,0.628839955508178,1,"Not Significant"
"1110046J04Rik",3.90545865306611,2.84233355730273,1.58962815194157,1.78804933331804,0.0737680489164444,0.456877315191078,"Not Significant"
"1110051M20Rik",206.764138866814,0.838333037746169,0.281413805773562,2.97900465629867,0.00289186383706043,0.0449213104193022,"Upregulated"
"1110059E24Rik",1137.02552102477,-0.114429908935125,0.130691924875523,-0.875569849048543,0.381263922445871,0.970298685417074,"Not Significant"
"1110059G10Rik",323.433735608625,-0.00994285738287026,0.175623144525591,-0.0566147326978388,0.954852098373165,1,"Not Significant"
"1110065P20Rik",428.623657009195,0.128538880853705,0.174407393240284,0.737003623903807,0.461120145584455,1,"Not Significant"
"1190002F15Rik",127.573372246399,-0.202762361473221,0.350358116502779,-0.578728883170066,0.562772123827232,1,"Not Significant"
"1190002N15Rik",1498.23231618561,-0.111929670014428,0.150191832793444,-0.745244717589686,0.456123794226685,1,"Not Significant"
