gene_id,AKP_REP1,AKP_REP2,AKP_REP3,AKPE_REP1,AKPE_REP2,AKPE_REP3,AP_REP1,AP_REP2,AP_REP3
0610005C13Rik,0,3,0,0,0,0,3,0,3
0610007P14Rik,2019,1707,1911,1925,1893,1836,1656,1889,1593
0610009B22Rik,418,470,492,351,479,406,460,488,336
0610009L18Rik,2,9,5,7,2,6,4,10,19
0610009O20Rik,1145.954,1223,1382.629,1497,1696.989,1584.911,1419,1185,1232.832
0610010B08Rik,298.911,640.873,283.084,305.95,618.584,435.924,244.694,232.841,168.555
0610010F05Rik,1084,1139,1092,1361,1120,1020,817,919,1124
0610010K14Rik,922,1213.998,1043.001,936,1338.001,1014.999,1119,952,934.999
0610011F06Rik,1183,1151,1163,881,1315,1163,1573,1425,949
0610012G03Rik,1519,1616,1637,1111,1672,1445,1572,1618,1486
0610030E20Rik,779,710,817,783,688,736,978,493,522
0610031O16Rik,0,0,0,0,3,0,0,0,0
0610037L13Rik,329,437,395,425,519,361,325,459,418
0610038B21Rik,8.026,22.014,7,4.002,10.005,11.006,0,21.767,6.007
0610039H22Rik,0,2,0,0,0,1,1,0,2
0610039K10Rik,1,4,2,1,2,3,0,0,0
0610040B10Rik,9,6,2,9,7,13,3,7,8
0610040F04Rik,1.003,2,4,0,1,0,6.003,4.014,1
0610040J01Rik,1975,2557,2566,2657,3423,2688,2251,2431,2019
0610043K17Rik,0,2,0,0,1,0,2,0,3
1010001N08Rik,4,0,7,14,7,7,18,17,14
1110001J03Rik,358,415,376,227,448,402,405,345,335
1110002L01Rik,179.174,239.85,211.425,168.514,172.611,144.98,139.512,142.35,129.85
1110004E09Rik,2302,2525,2464,1714,2452,1855,1832,1910,2073
1110004F10Rik,2775,3198,3464,3498,4024,3326,2443,3333,3336
1110006O24Rik,14,18,40,19,30,17,17,13,18
1110007C09Rik,1187,918,1105,703,699,782,889,703,499
1110008F13Rik,4066.89,4522.202,4364.717,4081.209,5228.633,4132.212,2875.335,3834.352,3978.514
1110008L16Rik,700,567,722,735,830,742,629,642,643
1110008P14Rik,526,475,533,379,619,534,520,550,541
1110012L19Rik,335,321,310,268,360,337,302,407,341
1110015O18Rik,0,0,0,0,0,0,0,0,0
1110017D15Rik,1,0,0,0,0,0,0,2,0
1110019D14Rik,48,50,53,50,53,51,96,68,66
1110020A21Rik,8,6,10,11,6,7,12,7,3
1110025L11Rik,0,0,0,0,1,0,0,2,0
1110028F11Rik,176,73,50,184,197,89,144,245,370
1110028F18Rik,2,0,0,0,1,0,0,1,1
1110032A03Rik,130,110,119,84,134,145,153,139,111
1110032F04Rik,0,0,0,1,1,0,0,0,0
1110034G24Rik,40,58,52,63,96,69,94,78,73
1110036E04Rik,0,0,0,0,0,2,0,0,0
1110037F02Rik,2128,1871,1999,2429,2179,1752,1865,1516,1836
1110038B12Rik,932,1005,1130,567,1161,1092,1044,915,964
1110038F14Rik,666,699,643,638,690,648,505,624,562
1110046J04Rik,1,1,0,4,5,6,10,7,1
1110051M20Rik,89,164,174,236,342,215,234,217,215
1110058D11Rik,0,0,0,0,0,0,0,0,0
1110059E24Rik,1115,1166,1196,1051,1229,1049,1266,1223,1013
1110059G10Rik,325,310,333,303,352,339,323,367,281
1110065P20Rik,381.449,432.79,448.643,391.95,586.02,455.528,406.696,377.452,425.36
1190002F15Rik,139,172,156,99,153,168,137,79,63
1190002N15Rik,1623,1842,2084,1866,1970,1478,1098,970,842
1190003K10Rik,0,0,0,0,0,0,0,0,0
1190005I06Rik,41.578,63.38,115.439,58.872,101.57,29.593,1.809,7.04,18.051
1190007I07Rik,393.999,430,396.999,238,472.239,411,428,400,300
1200014J11Rik,1754,1743,1752,1815,1966,1669,1455,1344,1549
1300002E11Rik,143,140,139,177,221,155,213,158,172
1300017J02Rik,1,0,0,0,1,0,0,1,2
1500004A13Rik,72.015,51.038,57.357,80.099,81.12,59.186,23.094,40.085,51.118
1500009C09Rik,0,0,0,0,0,0,3,1,3
1500009L16Rik,14,30,15,25,44,11,60,50,41
1500011B03Rik,181,215,274,270,212.209,241,157,161,161
1500011K16Rik,547,613,464,254,442,432,617,517,392
1500012F01Rik,1051,1107,1159,689,1293,1099,1693,1507,1103
1500012K07Rik,0,0,0,0,0,0,0,0,0
1500015A07Rik,61,74,51,106,108,86,106,66,97
1500015L24Rik,24,15,16,20,24,20,4,3,6
1500015O10Rik,0,1,0,0,0,0,0,0,0
1500017E21Rik,0,0,0,2,0,0,0,0,0
1500026H17Rik,7,3,8,0,3,14,14,3,0
1600002D24Rik,0,0,0,0,1,2,2,0,0
1600002H07Rik,550,511,450,442,503,456,403,462,384
1600002K03Rik,207,235,199,205,312,226,136,266,219
1600010M07Rik,0,0,0,0,0,0,0,0,0
1600012H06Rik,705.003,606.231,726.265,627.113,607.332,577.694,756.751,761.021,686.269
1600014C10Rik,548,516,550,466,452,398,394,370,469
1600014C23Rik,0,1,1,0,1,0,11,3,0
1600014K23Rik,0,0,0,0,1,0,0,0,0
1600015I10Rik,0,0,0,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0,0
1600020E01Rik,26,25,36,17,32,33,28,40,12
1600023N17Rik,8,7,4,1,8,6,9,10,2
1600025M17Rik,0,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0,0,0,0
1600029I14Rik,0,0,0,0,0,0,0,0,0
1600029O15Rik,0,0,0,0,0,0,0,0,0
1700001C02Rik,0,0,0,0,0,0,0,0,0
1700001C19Rik,4,3,1.001,1.001,0,1,4,1,1
1700001D01Rik,0,0,0,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0,0
1700001G11Rik,2,6,11,2,9,2,6,1,3
1700001G17Rik,9,15,3,7,10,17,5,9,7
1700001J03Rik,0,1,1,0,0,0,0,0,0
